timestamp,user_id,user_message,bot_response,sentiment,error,type_of_error,response_time
1/8/2023 8:38,user1,hi,"Hello! I'm Devan & Company's inquiry chatbot. I'm here to assist you with any inquiries you may have. To get started, may I please have your name?",neutral,0,,1.765701896
1/8/2023 8:38,user1,hanson,"Hello Hanson! It's great to have you here. To assist you further, may I please have your valid email address?",neutral,1,Runtime Error,1.650588786
1/8/2023 8:39,user1,hanson@gmail.com,"Thank you, Hanson. To proceed, may I please have a contact number where we can reach you?",neutral,0,,1.442282071
1/8/2023 8:39,user1,123232239,"Thank you, Hanson. Finally, what is your inquiry or question that you would like to discuss with us today?",neutral,0,,1.360841391
1/8/2023 8:40,user1,i would like to ask about your 1 chatbot using multimodal quotation ,"Thank you, Hanson. Just to confirm, I have your name as Hanson, your email as hanson@gmail.com, and your contact number as 0123232239. Your inquiry is about our chatbot using multimodal quotation. Is that correct?",neutral,0,,1.115616177
1/14/2023 8:38,user1,hi,"Hello! I'm Devan & Company's inquiry chatbot. I'm here to assist you with any inquiries you may have. To get started, may I please have your name?",neutral,1,Runtime Error,1.021812141
1/14/2023 20:38,user1,hanson,"Hello Hanson! It's great to have you here. To assist you further, may I please have your valid email address?",neutral,0,,1.304554644
1/14/2023 20:39,user1,hanson@gmail.com,"Thank you, Hanson. To proceed, may I please have a contact number where we can reach you?",neutral,0,,1.306293607
1/14/2023 20:39,user1,123232239,"Thank you, Hanson. Finally, what is your inquiry or question that you would like to discuss with us today?",neutral,0,,1.643834385
1/14/2023 20:40,user1,i would like to ask about your 1 chatbot using multimodal quotation ,"Thank you, Hanson. Just to confirm, I have your name as Hanson, your email as hanson@gmail.com, and your contact number as 0123232239. Your inquiry is about our chatbot using multimodal quotation. Is that correct?",neutral,0,,1.441927378
1/26/2023 6:17,user4,How to upgrade my account?,"Our working hours are from 9 AM to 5 PM, Monday to Friday...",positive,0,,1.644033424
1/9/2023 11:28,user2,Can I change my order?,Our return policy allows returns within 30 days of purchase...,neutral,0,,1.863999777
1/15/2023 21:03,user7,Can I get a refund?,Refunds are subject to our refund policy...,neutral,0,,1.930321113
1/27/2023 20:15,user3,What is the price for your service?,"To reset your password, please follow these steps...",positive,0,,1.627629787
1/15/2023 18:06,user8,I have an issue with my payment.,We apologize for the inconvenience. Can you provide more details about the payment issue?,neutral,0,,1.235112352
1/30/2023 2:15,user2,How long does the delivery take?,You can change your order within 24 hours of placing it...,neutral,0,,1.008818596
1/8/2023 9:18,user7,What is your return policy?,"Our working hours are from 9 AM to 5 PM, Monday to Friday...",positive,1,Runtime Error,1.90472817
1/18/2023 17:20,user9,Can I get a refund?,You can change your order within 24 hours of placing it...,positive,0,,1.534476212
1/9/2023 8:28,user10,What are your working hours?,Refunds are subject to our refund policy...,neutral,0,,1.642843018
1/29/2023 20:37,user7,Do you offer customer support on weekends?,You can change your order within 24 hours of placing it...,positive,0,,1.984453487
1/24/2023 1:19,user6,What is the price for your service?,"To reset your password, please follow these steps...",neutral,0,,1.613584222
1/30/2023 0:24,user6,How long does the delivery take?,"Our working hours are from 9 AM to 5 PM, Monday to Friday...",negative,0,,1.863836928
1/20/2023 22:59,user10,What is the price for your service?,"Our working hours are from 9 AM to 5 PM, Monday to Friday...",positive,0,,1.776540387
1/10/2023 22:32,user4,What are your working hours?,You can change your order within 24 hours of placing it...,positive,0,,1.966509406
1/15/2023 10:18,user3,How long does the delivery take?,Refunds are subject to our refund policy...,positive,1,API Error,1.178232753
1/23/2023 0:16,user7,How long does the delivery take?,Refunds are subject to our refund policy...,positive,0,,1.773371418
1/26/2023 15:09,user10,What is your return policy?,We offer limited customer support during weekends...,positive,0,,1.737793453
1/29/2023 15:45,user4,How do I reset my password?,Our service price varies depending on the plan you choose...,positive,0,,1.308675053
1/10/2023 15:02,user9,I have an issue with my payment.,You can change your order within 24 hours of placing it...,positive,0,,1.573650868
1/22/2023 12:10,user10,What is your return policy?,"To reset your password, please follow these steps...",negative,0,,1.660199162
1/29/2023 15:35,user6,What are your working hours?,Our service price varies depending on the plan you choose...,positive,0,,1.283719309
1/12/2023 22:59,user7,I have an issue with my payment.,Delivery typically takes 3-5 business days...,negative,0,,1.545321648
1/11/2023 16:30,user3,What are your working hours?,You can change your order within 24 hours of placing it...,neutral,0,,1.872185111
1/28/2023 17:59,user1,What is your return policy?,"To reset your password, please follow these steps...",negative,0,,1.565473584
1/30/2023 23:23,user8,How long does the delivery take?,We apologize for the inconvenience. Can you provide more details about the payment issue?,positive,0,,1.423852644
1/23/2023 14:11,user1,What are your working hours?,"To upgrade your account, please visit your account settings...",positive,0,,1.90816337
1/15/2023 23:19,user8,How long does the delivery take?,Our return policy allows returns within 30 days of purchase...,negative,0,,1.348410273
1/14/2023 12:05,user8,What is your return policy?,You can change your order within 24 hours of placing it...,neutral,1,Authentication Error,1.89877754
1/18/2023 6:17,user3,What is the price for your service?,You can change your order within 24 hours of placing it...,neutral,1,API Error,1.267644978
1/18/2023 23:18,user8,Can I get a refund?,Our service price varies depending on the plan you choose...,negative,0,,1.097664902
1/24/2023 13:50,user4,What is the price for your service?,Delivery typically takes 3-5 business days...,positive,0,,1.643171435
1/17/2023 12:35,user5,How do I reset my password?,You can change your order within 24 hours of placing it...,positive,0,,1.753869626
1/24/2023 18:55,user8,What are your working hours?,Delivery typically takes 3-5 business days...,neutral,0,,1.561844128
1/30/2023 23:51,user10,Can I change my order?,We apologize for the inconvenience. Can you provide more details about the payment issue?,negative,0,,1.025464832
1/24/2023 19:14,user7,I have an issue with my payment.,Our service price varies depending on the plan you choose...,positive,0,,1.253575458
1/11/2023 13:40,user3,Do you offer customer support on weekends?,"Our working hours are from 9 AM to 5 PM, Monday to Friday...",positive,0,,1.477111512
1/28/2023 11:13,user7,I have an issue with my payment.,We apologize for the inconvenience. Can you provide more details about the payment issue?,positive,0,,1.705058777
1/13/2023 19:54,user2,What is your return policy?,Refunds are subject to our refund policy...,negative,0,,1.581848013
1/16/2023 1:09,user1,What are your working hours?,Our return policy allows returns within 30 days of purchase...,positive,0,,1.605853917
1/8/2023 22:28,user2,Can I get a refund?,Delivery typically takes 3-5 business days...,neutral,0,,1.855646822
1/25/2023 0:16,user5,How do I reset my password?,We offer limited customer support during weekends...,neutral,0,,1.726565387
1/28/2023 13:53,user3,What are your working hours?,You can change your order within 24 hours of placing it...,neutral,0,,1.976684752
1/25/2023 4:47,user2,Can I get a refund?,"To upgrade your account, please visit your account settings...",neutral,0,,1.042602361
1/12/2023 5:48,user10,What is the price for your service?,Refunds are subject to our refund policy...,negative,0,,1.282661598
1/30/2023 9:52,user8,How do I reset my password?,Refunds are subject to our refund policy...,negative,0,,1.464597196
1/14/2023 8:23,user4,I have an issue with my payment.,"To upgrade your account, please visit your account settings...",neutral,0,,1.616251949
1/26/2023 3:31,user2,How to upgrade my account?,"To upgrade your account, please visit your account settings...",positive,0,,1.11432026
1/14/2023 21:51,user3,Can I change my order?,You can change your order within 24 hours of placing it...,neutral,0,,1.857518115
1/12/2023 8:05,user9,How long does the delivery take?,We offer limited customer support during weekends...,positive,0,,1.043270418
1/12/2023 13:23,user6,What are your working hours?,We apologize for the inconvenience. Can you provide more details about the payment issue?,neutral,0,,1.987220686
1/31/2023 1:51,user8,Do you offer customer support on weekends?,We apologize for the inconvenience. Can you provide more details about the payment issue?,neutral,0,,1.655639683
1/31/2023 1:51,user4,How do I reset my password?,Delivery typically takes 3-5 business days...,neutral,0,,1.951516287
1/31/2023 1:51,user2,I have an issue with my payment.,Our return policy allows returns within 30 days of purchase...,neutral,0,,1.601795176
1/31/2023 1:51,user3,How to upgrade my account?,We offer limited customer support during weekends...,neutral,0,,1.980760907
1/31/2023 1:51,user5,Can I get a refund?,You can change your order within 24 hours of placing it...,positive,0,,1.548429355
1/31/2023 3:51,user10,Can I change my order?,Delivery typically takes 3-5 business days...,positive,0,,1.16733042
1/31/2023 3:51,user9,Can I change my order?,"Our working hours are from 9 AM to 5 PM, Monday to Friday...",negative,0,,1.665176325
1/31/2023 5:51,user7,Can I get a refund?,We offer limited customer support during weekends...,positive,0,,1.313514883
1/31/2023 5:51,user4,What is the price for your service?,Our service price varies depending on the plan you choose...,negative,0,,1.503505621
1/31/2023 5:51,user5,What is your return policy?,Our service price varies depending on the plan you choose...,negative,0,,1.624718053
1/31/2023 5:51,user1,What is your return policy?,"To reset your password, please follow these steps...",negative,0,,1.099609801
1/31/2023 7:51,user1,What is your return policy?,"To reset your password, please follow these steps...",positive,0,,1.821782975
1/31/2023 7:51,user6,Do you offer customer support on weekends?,Delivery typically takes 3-5 business days...,neutral,0,,1.674945127
1/31/2023 7:51,user8,Do you offer customer support on weekends?,Our return policy allows returns within 30 days of purchase...,neutral,0,,1.857207827
1/31/2023 7:51,user4,Do you offer customer support on weekends?,"To reset your password, please follow these steps...",negative,0,,1.43263807
1/31/2023 9:51,user6,Can I get a refund?,Our return policy allows returns within 30 days of purchase...,neutral,0,,1.826957195
1/31/2023 9:51,user5,What is the price for your service?,Refunds are subject to our refund policy...,neutral,0,,1.392770518
1/31/2023 9:51,user10,How do I reset my password?,You can change your order within 24 hours of placing it...,neutral,0,,1.050445633
1/31/2023 11:51,user8,What is the price for your service?,We apologize for the inconvenience. Can you provide more details about the payment issue?,neutral,0,,1.682159168
